# TCEQ regulated entities under the Electric Generating Facilities
# unit rule (8340), standby gensets at stores/schools/hospitals
# removed, most-likely-generation first. One RN per line.
# Use: permits_cli.py scrape --rn-file data/scrape_targets_egf.txt
RN104180559,ENCHANTED ROCK OPS LLC
RN102218963,ENCHANTED ROCK OPS LLC
RN105134985,ENCHANTED ROCK OPS LLC
RN105011001,ENCHANTED ROCK OPS LLC
RN105071211,ENCHANTED ROCK OPS LLC
RN104588975,ENCHANTED ROCK OPS LLC
RN104509195,ENCHANTED ROCK OPS LLC
RN105072177,ENCHANTED ROCK OPS LLC
RN111240461,ENCHANTED ROCK OPS LLC
RN102218773,ENCHANTED ROCK OPS LLC
RN104503214,ENCHANTED ROCK OPS LLC
RN102864667,ENCHANTED ROCK OPS LLC
RN111213666,ENCHANTED ROCK OPS LLC
RN103909388,ENCHANTED ROCK OPS LLC
RN111213484,ENCHANTED ROCK OPS LLC
RN102219003,ENCHANTED ROCK OPS LLC
RN111211603,ENCHANTED ROCK OPS LLC
RN111208229,ENCHANTED ROCK OPS LLC
RN111208203,ENCHANTED ROCK OPS LLC
RN111199279,ENCHANTED ROCK OPS LLC
RN111183117,ENCHANTED ROCK OPS LLC
RN110565843,PROENERGY SERVICES LLC
RN111169926,ENCHANTED ROCK OPS LLC
RN111169280,ENCHANTED ROCK OPS LLC
RN101478238,NELSON GARDENS ENERGY  LLC
RN111618906,ENCHANTED ROCK OPS LLC
RN111618914,ENCHANTED ROCK OPS LLC
RN110971256,GRAND PRAIRIE LANDFILL GAS PRODUCTION  LIMITED LIABILITY COMPANY
RN100542885,NRG THW GT LLC
RN111600359,VOLTAGRID LLC
RN110173200,PAK QUALITY FOODS LLC
RN111366449,WATTBRIDGE TEXAS LLC
RN111340964,WATTBRIDGE TEXAS LLC
RN104382825,CITY OF AUSTIN DBA AUSTIN ENERGY
RN100645241,BASILEIA INVESTMENTS  INC.
RN103729273,DISTRIBUTED GENERATION SOLUTIONS PRIME LLC
RN111558995,ENCHANTED ROCK OPS LLC
RN111559001,ENCHANTED ROCK OPS LLC
RN111522488,ONCORE PROCESSING LLC
RN111465571,MP MAGNETICS LLC
RN111536082,ONCORE PROCESSING LLC
RN111546453,ENCHANTED ROCK OPS LLC
RN111546446,ENCHANTED ROCK OPS LLC
RN101610442,BELL COUNTY WATER CONTROL & IMPROVEMENT DISTRICT NO 1
RN106858400,DISTRIBUTED GENERATION SOLUTIONS LLC
RN111528519,ENCHANTED ROCK OPS LLC
RN111528527,ENCHANTED ROCK OPS LLC
RN111528535,ENCHANTED ROCK OPS LLC
RN111528543,ENCHANTED ROCK OPS LLC
RN110771722,ENCHANTED ROCK OPS LLC
RN100218858,US DEPARTMENT OF THE AIR FORCE
RN111524955,ENCHANTED ROCK OPS LLC
RN111513842,ENCHANTED ROCK OPS LLC
RN111513867,ENCHANTED ROCK OPS LLC
RN111513875,ENCHANTED ROCK OPS LLC
RN111513909,ENCHANTED ROCK OPS LLC
RN101741627,ENCHANTED ROCK OPS LLC
RN111513883,ENCHANTED ROCK OPS LLC
RN111513917,ENCHANTED ROCK OPS LLC
RN106508468,DISTRIBUTED GENERATION SOLUTIONS LLC
RN111508172,BLUEPRINT MINING I LLC
RN111053120,FRESHPET INC
RN111478236,ENCHANTED ROCK OPS LLC
RN111478244,ENCHANTED ROCK OPS LLC
RN111478723,ENCHANTED ROCK OPS LLC
RN111478731,ENCHANTED ROCK OPS LLC
RN106637093,BROWNSVILLE PUBLIC UTILITIES BOARD
RN111459210,ENCHANTED ROCK OPS LLC
RN111459087,ENCHANTED ROCK OPS LLC
RN111459053,ENCHANTED ROCK OPS LLC
